date,field_1,field_2,field_3,field_4,field_5,field_6
2021-01-02,16.1,4416,Group_Gamma,REJECTED,198.57,181
2021-01-03,273.16,4864,Group_Beta,PENDING,313.79,2850
2021-01-04,245.65,2235,Group_Delta,PROCESSING,235.8,4349
2021-01-05,279.74,4154,Group_Alpha,PENDING,250.75,884
2021-01-06,314.71,2323,Group_Gamma,REJECTED,45.75,881
2021-01-07,383.16,3431,Group_Beta,APPROVED,271.26,1788
2021-01-08,374.5,4633,Group_Delta,REJECTED,46.3,624
2021-01-09,465.57,3416,Group_Alpha,REJECTED,219.08,1366
2021-01-10,27.03,3137,Group_Alpha,PENDING,65.15,1298
2021-01-02,293.07,3024,Group_Delta,APPROVED,107.35,2019
2021-01-03,254.96,4662,Group_Gamma,APPROVED,261.59,3793
2021-01-04,284.41,3990,Group_Beta,APPROVED,83.67,1337
2021-01-05,147.64,2256,Group_Gamma,REJECTED,459.8,3974
2021-01-06,15.35,2827,Group_Beta,PROCESSING,163.43,406
2021-01-07,297.26,4025,Group_Gamma,PENDING,264.24,3999
2021-01-08,355.64,147,Group_Gamma,REJECTED,183.78,3864
2021-01-09,22.22,1561,Group_Delta,PROCESSING,339.52,3748
2021-01-10,384.0,4393,Group_Alpha,REJECTED,150.3,4970
2021-01-02,353.49,148,Group_Beta,PENDING,14.39,3045
2021-01-03,207.21,2219,Group_Delta,APPROVED,448.58,2551
2021-01-04,391.73,2293,Group_Alpha,REJECTED,324.24,1593
2021-01-05,469.02,411,Group_Delta,APPROVED,349.05,2573
2021-01-06,425.66,222,Group_Gamma,PROCESSING,133.12,4590
2021-01-07,462.29,4051,Group_Beta,PENDING,306.97,3864
2021-01-08,17.73,3494,Group_Beta,PROCESSING,313.05,1456
2021-01-09,217.11,2830,Group_Alpha,PROCESSING,179.09,2284
2021-01-10,35.88,2929,Group_Alpha,APPROVED,133.26,3029
2021-01-02,109.48,2846,Group_Beta,PENDING,124.0,4691
2021-01-03,313.66,321,Group_Beta,REJECTED,264.06,4824
2021-01-04,339.15,2957,Group_Beta,REJECTED,43.1,3016
2021-01-05,321.5,3164,Group_Delta,PROCESSING,482.63,2420
2021-01-06,465.65,1102,Group_Delta,PENDING,334.38,1824
2021-01-07,273.66,1178,Group_Alpha,PENDING,356.91,3825
2021-01-08,267.3,4278,Group_Gamma,PROCESSING,269.08,4574
2021-01-09,177.66,43,Group_Gamma,APPROVED,144.01,4645
2021-01-10,151.38,4221,Group_Delta,REJECTED,425.14,2060
2021-01-02,286.9,3954,Group_Alpha,APPROVED,498.66,4727
2021-01-03,35.4,1748,Group_Delta,REJECTED,68.22,852
2021-01-04,357.53,4350,Group_Beta,PROCESSING,379.87,736
2021-01-05,349.17,190,Group_Alpha,PROCESSING,449.81,4945
2021-01-06,309.19,4376,Group_Beta,APPROVED,318.49,503
2021-01-07,313.84,1890,Group_Alpha,REJECTED,308.18,3655
2021-01-08,480.12,2935,Group_Alpha,REJECTED,136.51,3360
2021-01-09,357.75,214,Group_Alpha,PROCESSING,227.92,2877
2021-01-10,495.94,3437,Group_Alpha,PROCESSING,35.57,506
2021-01-02,131.92,2797,Group_Beta,APPROVED,79.77,1108
2021-01-03,308.69,3859,Group_Alpha,REJECTED,315.99,664
2021-01-04,484.25,1137,Group_Delta,PROCESSING,354.3,3740
2021-01-05,280.7,2498,Group_Alpha,PENDING,336.07,2362
2021-01-06,486.11,3839,Group_Alpha,PROCESSING,73.5,2446
2021-01-07,308.89,1845,Group_Delta,REJECTED,469.37,3382
2021-01-08,52.59,1586,Group_Delta,REJECTED,458.67,455
2021-01-09,201.85,788,Group_Alpha,REJECTED,290.76,1846
2021-01-10,124.64,76,Group_Alpha,APPROVED,354.55,2403
2021-01-02,64.39,3750,Group_Gamma,PENDING,156.57,4034
2021-01-03,134.84,2359,Group_Beta,APPROVED,38.77,872
2021-01-04,482.95,1588,Group_Delta,PENDING,496.54,3517
2021-01-05,81.44,3701,Group_Delta,APPROVED,423.38,2929
2021-01-06,217.09,4815,Group_Delta,PENDING,17.37,4798
2021-01-07,90.65,3918,Group_Alpha,PENDING,172.87,3973
2021-01-08,162.68,992,Group_Gamma,APPROVED,40.86,2811
2021-01-09,456.19,3344,Group_Beta,REJECTED,280.53,467
2021-01-10,344.92,2367,Group_Beta,REJECTED,340.11,2559
2021-01-02,418.11,2045,Group_Beta,APPROVED,13.66,2792
