date,field_1,field_2,field_3,field_4,field_5,field_6,field_7,field_8,field_9,field_10,field_11,field_12,field_13,field_14,field_15,field_16,field_17,field_18,field_19,field_20,field_21,field_22,field_23,field_24,field_25,field_26,field_27,field_28,field_29
2020-01-01,845.61,7027,Category_C,FAILED,570.03,3631,Category_A,ACTIVE,149.09,7604,Category_B,PENDING,710.41,76,Category_D,FAILED,760.8,61,Category_C,COMPLETED,38.93,2412,Category_C,ACTIVE,815.03,7191,Category_D,COMPLETED,583.33
2020-01-02,700.71,5048,Category_E,FAILED,477.87,100,Category_D,ACTIVE,409.04,4249,Category_C,ACTIVE,677.26,1197,Category_C,ACTIVE,98.3,1737,Category_A,ACTIVE,554.71,2128,Category_C,FAILED,301.49,1191,Category_D,ACTIVE,730.41
2020-01-03,800.86,1755,Category_D,FAILED,282.66,5694,Category_D,COMPLETED,183.88,5728,Category_A,ACTIVE,353.03,2927,Category_A,ACTIVE,337.67,8427,Category_D,PENDING,800.98,9116,Category_E,FAILED,540.9,9322,Category_D,ACTIVE,591.71
2020-01-04,557.77,8747,Category_A,PENDING,127.08,3740,Category_E,PENDING,12.27,4441,Category_E,COMPLETED,928.27,3040,Category_A,COMPLETED,543.08,9668,Category_A,PENDING,266.99,7655,Category_A,PENDING,110.64,8626,Category_C,ACTIVE,425.98
2020-01-05,691.41,3036,Category_A,PENDING,814.7,6557,Category_E,PENDING,926.72,1991,Category_B,PENDING,147.99,8430,Category_C,ACTIVE,682.66,2099,Category_C,COMPLETED,778.65,5327,Category_E,ACTIVE,464.72,3940,Category_D,FAILED,65.3
2020-01-06,863.16,2711,Category_B,FAILED,65.56,8469,Category_C,ACTIVE,609.78,5522,Category_E,COMPLETED,917.47,4206,Category_E,PENDING,573.16,6687,Category_A,COMPLETED,596.34,1219,Category_C,PENDING,929.23,9998,Category_C,ACTIVE,145.58
2020-01-07,278.44,9130,Category_C,COMPLETED,677.74,3279,Category_A,COMPLETED,848.68,407,Category_C,FAILED,810.75,7385,Category_C,FAILED,966.51,757,Category_B,COMPLETED,998.66,4633,Category_D,ACTIVE,573.65,4679,Category_C,ACTIVE,725.49
2020-01-08,647.25,7819,Category_C,ACTIVE,966.05,8440,Category_E,COMPLETED,175.6,6770,Category_C,FAILED,555.05,2002,Category_C,COMPLETED,206.63,3587,Category_D,ACTIVE,575.06,9311,Category_A,COMPLETED,249.31,5744,Category_D,COMPLETED,626.75
2020-01-09,286.01,4398,Category_E,PENDING,257.02,6762,Category_D,PENDING,688.14,3967,Category_A,ACTIVE,757.87,155,Category_A,FAILED,996.63,3975,Category_D,PENDING,360.27,364,Category_D,FAILED,661.89,6216,Category_C,PENDING,579.45
2020-01-10,260.99,9841,Category_E,ACTIVE,150.95,6302,Category_A,FAILED,433.69,9277,Category_C,ACTIVE,760.78,3752,Category_A,COMPLETED,582.84,4335,Category_D,COMPLETED,292.6,4988,Category_A,ACTIVE,645.24,456,Category_B,ACTIVE,42.85
2020-01-11,49.41,1182,Category_A,FAILED,903.28,8411,Category_A,FAILED,132.36,7432,Category_D,PENDING,925.47,6238,Category_B,FAILED,142.37,9524,Category_E,FAILED,612.46,1352,Category_E,PENDING,527.35,5843,Category_E,FAILED,814.92
2020-01-12,21.99,9939,Category_C,FAILED,528.11,4656,Category_A,PENDING,387.36,6098,Category_C,PENDING,580.46,8484,Category_E,PENDING,90.64,357,Category_C,COMPLETED,807.01,2671,Category_A,COMPLETED,634.3,4472,Category_C,PENDING,213.48
2020-01-13,840.49,565,Category_A,COMPLETED,814.46,3956,Category_E,COMPLETED,231.7,4218,Category_A,COMPLETED,769.14,3770,Category_E,FAILED,206.12,8567,Category_C,COMPLETED,560.96,2211,Category_D,COMPLETED,335.85,9783,Category_E,ACTIVE,737.46
2020-01-14,253.4,3869,Category_A,FAILED,878.26,9202,Category_E,FAILED,727.68,212,Category_D,COMPLETED,968.19,1771,Category_E,FAILED,115.63,5750,Category_B,ACTIVE,304.66,4690,Category_B,ACTIVE,624.54,1897,Category_D,ACTIVE,261.41
2020-01-15,81.73,6524,Category_B,PENDING,92.39,1818,Category_B,COMPLETED,437.17,765,Category_B,PENDING,77.5,8753,Category_C,PENDING,468.46,1867,Category_B,ACTIVE,136.9,1861,Category_B,FAILED,248.29,5814,Category_C,PENDING,759.88
2020-01-16,214.47,5456,Category_B,PENDING,860.73,1696,Category_B,COMPLETED,688.52,7340,Category_D,COMPLETED,30.03,7723,Category_B,ACTIVE,411.23,2269,Category_D,ACTIVE,84.13,7365,Category_D,COMPLETED,249.45,3961,Category_A,COMPLETED,687.93
