Date,Revenue,Expenses,Profit,Margin_Pct,Unit_Price,Units_Sold,Customer_Visits,Support_Tickets,Inventory_Level,New_Signups,Region,Category,Sales_Channel,Status,Priority,CSAT_Score,NPS_Score,Conversion_Rate,Churn_Risk,Server_Uptime_Pct,Latency_ms,Error_Count,Fulfillment_Days,Transaction_ID,Customer_ID,Is_Promotional,Discount_Applied,Tax_Amount,Shipping_Cost
2023-01-01,57450.71,23092.05,34358.66,59.81,25.61,143,2955,18,73,99,Asia-Pacific,Apparel,Online,Shipped,Low,3.7,-53,0.2007,0.01,98.466,83.3,0,8,5306996,CUST-49521,True,0.13,4596.06,49.13
2023-01-02,47926.04,29750.37,18175.67,37.92,239.96,717,1165,10,1584,139,Europe,Books,Direct Sales,Pending,Low,3.6,20,0.1523,0.587,99.681,70.4,1,5,9894043,CUST-15707,False,0.0,3834.08,6.45
2023-01-03,59715.33,30144.13,29571.2,49.52,463.07,987,1158,13,858,41,Middle East,Apparel,Retail Store,Completed,Medium,4.6,-6,0.4542,0.522,98.167,128.3,2,6,1636790,CUST-52827,False,0.0,4777.23,36.03
2023-01-04,72845.45,33781.04,39064.41,53.63,204.82,399,3159,18,1380,93,North America,Books,Wholesale,Shipped,Medium,3.8,-40,0.0917,0.696,98.478,155.5,0,1,1320132,CUST-11038,False,0.0,5827.64,34.08
2023-01-05,46487.7,19065.13,27422.57,58.99,316.21,803,4172,11,984,96,Latin America,Sports,Online,Completed,High,1.7,50,0.2275,0.843,98.382,160.0,2,10,8114037,CUST-57029,False,0.0,3719.02,35.76
2023-01-06,46487.95,34740.54,11747.41,25.27,392.11,622,2700,15,1431,40,Asia-Pacific,Home & Kitchen,Direct Sales,Pending,Medium,4.0,-40,0.2307,0.164,99.907,110.9,3,9,6230769,CUST-55991,False,0.0,3719.04,23.75
2023-01-07,73688.19,8364.87,65323.32,88.65,394.12,996,4319,21,419,21,Europe,Apparel,Online,Shipped,High,1.7,-21,0.0957,0.856,99.255,121.6,2,13,1125485,CUST-80674,False,0.0,5895.06,22.11
2023-01-08,61511.52,24960.92,36550.6,59.42,264.45,434,2204,17,1046,94,Asia-Pacific,Home & Kitchen,Wholesale,Shipped,Low,3.2,90,0.1637,0.098,99.432,169.9,0,10,7469495,CUST-44471,False,0.0,4920.92,44.08
2023-01-09,42957.88,26093.81,16864.07,39.26,430.4,596,2953,7,1796,96,Europe,Electronics,Direct Sales,Completed,Low,1.3,-82,0.2016,0.883,98.217,93.3,2,7,4677710,CUST-90308,False,0.0,3436.63,12.09
2023-01-10,58138.4,35066.61,23071.79,39.68,201.78,815,2755,18,220,53,Middle East,Apparel,Direct Sales,Completed,High,1.2,-88,0.0527,0.85,98.388,33.4,0,5,2196505,CUST-10649,False,0.0,4651.07,18.7
